short_ticker,iso,entity,frequency,currency,transformation,scale,source,description,first_date,last_date,last_insert_timestamp
USDDKK,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1971-01-01,2024-03-31,2024-04-01 09:40:28.691260
USDHKD,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1981-01-01,2024-03-31,2024-04-01 09:40:39.360247
USDINR,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1973-01-01,2024-03-31,2024-04-01 09:40:46.080412
USDJPY,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1971-01-01,2024-03-31,2024-04-01 09:40:50.579453
USDKRW,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1981-04-01,2024-03-31,2024-04-01 09:40:55.104345
USDLKR,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1973-01-01,2024-03-31,2024-04-01 09:40:59.428537
USDMXN,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1993-11-01,2024-03-31,2024-04-01 09:41:06.128367
USDMYR,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1971-01-01,2024-03-31,2024-04-01 09:41:07.270833
USDNOK,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1971-01-01,2024-03-31,2024-04-01 09:41:11.636528
USDSEK,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1971-01-01,2024-03-31,2024-04-01 09:41:24.907191
USDSGD,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1981-01-01,2024-03-31,2024-04-01 09:41:26.014608
USDTHB,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1981-01-01,2024-03-31,2024-04-01 09:41:29.453380
USDTWD,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1983-10-01,2024-03-31,2024-04-01 09:41:33.951473
USDZAR,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1971-01-01,2024-03-31,2024-04-01 09:41:42.904160
SEIUS,US,United States,M,INDEX,Period level,Units,International Monetary Fund,Stock exchange index,1957-01-01,2019-02-01,2019-10-30 02:14:35.680838
REERUS,US,United States,M,INDEX,Period level,Units,Bank for International Settlements,Real effective exchange rate,1994-01-01,2024-02-01,2024-03-21 04:14:09.584342
M3US,US,United States,M,DOMESTIC,Period level,Billions,Board of Governors of the Federal Reserve,Money supply,1959-01-01,2024-02-01,2024-03-30 09:00:24.292073
CREDUS,US,United States,Q,DOMESTIC,Period level,Billions,Bank for International Settlements,Domestic credit,1945-10-01,2023-07-01,2024-03-05 03:59:52.778686
TBUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Trade balance,1947-01-01,2023-10-01,2024-01-25 20:56:18.747204
RGDPPCUS,US,United States,Q,DOMESTIC,Period level,Units,Bureau of Economic Analysis,Real GDP per capita,1947-01-01,2023-10-01,2024-01-25 20:56:25.848947
RPRCUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Real private consumption,1947-01-01,2023-10-01,2024-01-25 20:56:22.342231
RPUCUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Real public consumption,1947-01-01,2023-10-01,2024-01-25 20:56:21.530508
RGFCFUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Real gross fixed capital formation,1947-01-01,2023-10-01,2024-01-25 20:56:22.488015
RCIUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Real change in inventories,1947-01-01,2023-07-01,2023-10-30 13:13:17.823704
REXPUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Real exports of goods and services,1947-01-01,2023-10-01,2024-01-25 20:56:19.442227
RIMPUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Real imports of goods and services,1947-01-01,2023-10-01,2024-01-25 20:56:20.127552
IIPAUS,US,United States,Q,DOMESTIC,Period level,Billions,Bureau of Economic Analysis,International investment position: Assets,2009-01-01,2023-10-01,2024-03-27 13:12:56.798624
IIPLUS,US,United States,Q,DOMESTIC,Period level,Billions,Bureau of Economic Analysis,International investment position: Liabilities,2009-01-01,2023-10-01,2024-03-27 13:12:56.920667
CLIUS,US,United States,M,INDEX,Period level,Units,OECD,OECD CLI,1947-02-01,2023-12-01,2024-01-13 00:40:48.520999
CLAIMSUS,US,United States,W,PERSONS,Period level,Units,Bureau of Labor Statistics,Weekly unemployment insurance claims,1967-01-07,2024-03-30,2024-04-04 12:30:27.388427
EXPMONUS,US,United States,M,DOMESTIC,Period level,Milions,U.S. Census Bureau,Monthly exports,1992-01-01,2024-02-01,2024-04-05 12:00:45.909817
IMPMONUS,US,United States,M,DOMESTIC,Period level,Milions,U.S. Census Bureau,Monthly imports,1992-01-01,2024-02-01,2024-04-05 12:00:46.734696
OILDEMUS,US,United States,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil demand,2002-01-01,2024-01-01,2024-03-18 15:43:27.799506
GASOPRODUS,US,United States,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline production,2002-01-01,2024-01-01,2024-03-18 15:44:08.647609
GASODEMUS,US,United States,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline demand,2002-01-01,2024-01-01,2024-03-18 15:44:56.939644
GASPRODUS,US,United States,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas production,2010-01-01,2024-01-01,2024-03-18 15:16:18.521758
GASDEMUS,US,United States,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas demand,2010-01-01,2024-01-01,2024-03-18 15:16:18.098943
ACPOPUS,US,United States,M,PERSONS,Period level,Thousands,Bureau of Labor Statistics,Active population,1948-02-01,2024-02-01,2024-03-08 13:36:39.148897
COREUS,US,United States,M,INDEX,Period level,Units,Bureau of Labor Statistics,Core consumer price index,1957-01-01,2024-02-01,2024-03-12 12:35:21.217128
MBUS,US,United States,M,DOMESTIC,Period level,Billions,Board of Governors of the Federal Reserve,Monetary base,1959-01-01,2024-02-01,2024-03-30 09:00:17.640021
PCEUS,US,United States,M,INDEX,Period level,Units,Bureau of Economic Analysis,Personal consumption expenditure price index,1959-01-01,2024-02-01,2024-03-29 20:55:58.569748
GDPIN,IN,India,Q,DOMESTIC,Period level,Tens Millions,"Ministry of Statistics and Program Implementation, India",Gross domestic product,2011-04-01,2023-10-01,2024-02-29 17:10:47.756955
PRCIN,IN,India,Q,DOMESTIC,Period level,Tens Millions,"Ministry of Statistics and Program Implementation, India",Private consumption,2011-01-01,2023-10-01,2024-02-29 17:10:48.416435
PUCIN,IN,India,Q,DOMESTIC,Period level,Tens Millions,"Ministry of Statistics and Program Implementation, India",Public consumption,2011-01-01,2023-10-01,2024-02-29 17:10:48.639888
GFCFIN,IN,India,Q,DOMESTIC,Period level,Tens Millions,"Ministry of Statistics and Program Implementation, India",Gross fixed capital formation,2011-01-01,2023-10-01,2024-02-29 17:10:47.973012
CIIN,IN,India,Q,DOMESTIC,Period level,Tens Millions,"Ministry of Statistics and Program Implementation, India",Change in inventories,2011-01-01,2023-10-01,2024-02-29 17:10:47.152564
RGDPIN,IN,India,Q,DOMESTIC,Period level,Tens Millions,"Ministry of Statistics and Program Implementation, India",Real gross domestic product,2011-01-01,2023-10-01,2024-02-29 17:10:47.863746
CPIIN,IN,India,M,INDEX,Period level,Units,Reserve Bank of India,Consumer price index,1957-01-01,2024-02-01,2024-03-12 17:10:25.900531
PPIIN,IN,India,M,INDEX,Period level,Units,Office of the Economic Adviser,Producer price index,2012-04-01,2024-02-01,2024-03-14 17:12:01.602918
GBALIN,IN,India,M,DOMESTIC,Year level,Billions,"Controller general of accounts, India",Government balance,2011-04-01,2024-02-01,2024-03-28 17:08:56.556530
GSPEIN,IN,India,M,DOMESTIC,Year level,Billions,"Controller general of accounts, India",General government total expenditure,2011-04-01,2024-02-01,2024-03-28 17:08:56.928486
GREVIN,IN,India,M,DOMESTIC,Year level,Billions,"Controller general of accounts, India",General government total revenue,2011-04-01,2024-02-01,2024-03-28 17:08:56.742809
GDEBTIN,IN,India,Q,DOMESTIC,Period level,Tens Millions,,Government debt,2011-01-01,2023-10-01,2024-04-05 17:12:44.401700
IPIN,IN,India,M,INDEX,Period level,Units,"Ministry of Statistics and Program Implementation, India",Industrial production,2012-04-01,2024-01-01,2024-03-12 17:13:17.242458
OILPRODIN,IN,India,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil production,2002-01-01,2024-01-01,2024-03-18 15:42:27.380276
EXPIN,IN,India,Q,DOMESTIC,Period level,Tens Millions,"Ministry of Statistics and Program Implementation, India",Exports of goods and services,2011-01-01,2023-10-01,2024-02-29 17:10:47.539363
IMPIN,IN,India,Q,DOMESTIC,Period level,Tens Millions,"Ministry of Statistics and Program Implementation, India",Imports of goods and services,2011-01-01,2023-10-01,2024-02-29 17:10:48.194600
CAIN,IN,India,Q,USD,Period level,Milions,Reserve Bank of India,Current account balance,2014-07-01,2023-10-01,2024-04-02 17:14:09.852842
POPIN,IN,India,Y,PERSONS,Period level,Units,World Bank,Population,1960-01-01,2022-01-01,2024-02-04 01:07:41.261839
HOUIN,IN,India,Q,INDEX,Period level,Units,Bank for International Settlements,House price,2009-01-01,2023-07-01,2024-02-14 04:11:40.798970
NIIPIN,IN,India,Q,USD,Period level,Milions,Reserve Bank of India,Net international investment position,2009-04-01,2023-07-01,2024-01-02 17:11:53.320397
NPLIN,IN,India,Q,PERCENT,Period level,Units,International Monetary Fund,Non performing loans,2009-01-01,2019-10-01,2020-05-22 22:15:14.499984
Y10YDIN,IN,India,D,PERCENT,Period level,Units,Reserve Bank of India,Long term yield,2013-12-27,2024-03-29,2024-04-05 22:11:23.107068
M3YDIN,IN,India,D,PERCENT,Period level,Units,Reserve Bank of India,3 month yield,2013-12-27,2024-03-29,2024-04-05 17:12:45.901770
POLIRIN,IN,India,D,PERCENT,Period level,Units,Reserve Bank of India,Policy rate - short term,2013-12-27,2024-03-29,2024-04-05 22:11:19.178566
SEIIN,IN,India,M,INDEX,Period level,Units,International Monetary Fund,Stock exchange index,1957-01-01,2019-02-01,2019-10-30 02:12:31.760066
REERIN,IN,India,M,INDEX,Period level,Units,Bank for International Settlements,Real effective exchange rate,1994-01-01,2024-02-01,2024-03-21 04:13:41.899531
M3IN,IN,India,M,DOMESTIC,% change on same period year ago,Units,Reserve Bank of India,Money supply,2012-11-01,2024-01-01,2024-03-21 23:15:39.267024
CREDIN,IN,India,Q,DOMESTIC,Period level,Billions,Bank for International Settlements,Domestic credit,1981-01-01,2023-07-01,2024-03-05 03:59:45.516160
TBIN,IN,India,M,USD,Period level,Milions,"Ministry of Statistics and Program Implementation, India",Trade balance,2006-04-01,2024-02-01,2024-03-18 17:14:11.677350
RPRCIN,IN,India,Q,DOMESTIC,Period level,Tens Millions,"Ministry of Statistics and Program Implementation, India",Real private consumption,2011-01-01,2023-10-01,2024-02-29 17:10:48.530170
RPUCIN,IN,India,Q,DOMESTIC,Period level,Tens Millions,"Ministry of Statistics and Program Implementation, India",Real public consumption,2011-01-01,2023-10-01,2024-02-29 17:10:48.746616
